KTADocumentID,ResultadoFraude,IndicatorIndex,Ind_ID,Ind_Type,Ind_Category,Ind_Title,Ind_Description
96b7efef-de9c-4c30-ae68-b179001aba57,WARNING,3,low_resolution,INFO,low_quality_image,Document has low resolution,Resolution of images stored in this document is too low for reliable analysis. Some detectors may be disabled.
96b7efef-de9c-4c30-ae68-b179001aba57,WARNING,4,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
96b7efef-de9c-4c30-ae68-b179001aba57,WARNING,5,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
96b7efef-de9c-4c30-ae68-b179001aba57,WARNING,6,has_microsoft_word_metadata,INFO,known_creator,Saved in Microsoft Word,The document was processed and saved in Microsoft Word.
96b7efef-de9c-4c30-ae68-b179001aba57,WARNING,7,has_only_images,INFO,scan,PDF consists of images only,This may be for example because the document was scanned or a photo was converted to PDF.
96bcc764-d56c-4e97-99ec-b1db016add5e,WARNING,1,has_word_covered,RISK,content_hiding,Contains hidden words,This document contains words covered by other content.
96bcc764-d56c-4e97-99ec-b1db016add5e,WARNING,2,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
96bcc764-d56c-4e97-99ec-b1db016add5e,WARNING,3,has_dxperience_metadata,INFO,known_creator,Saved in DXperience,The document was processed and saved in DXperience - software for designing other software.
96bcc764-d56c-4e97-99ec-b1db016add5e,WARNING,4,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
96c44056-dffe-4212-b45a-b179000399e6,WARNING,1,digital_print,RISK,content_hiding,Digital print,This document was converted directly from a digital PDF to an image. This is highly suspicious as there is no legitimate reason to do so.
96c44056-dffe-4212-b45a-b179000399e6,WARNING,2,has_size_changed,RISK,metadata,The image resolution has been changed,The metadata of this image suggest that the image was resized or cropped.
96caef1b-fe9a-4cd9-8552-b1db016aa2ca,WARNING,1,screenshot,RISK,content_hiding,Screenshot,This image contains screenshot which may be a policy violation.
96e0a86b-4a46-40d1-8b21-b1db016afb1b,WARNING,1,screenshot,RISK,content_hiding,Screenshot,This image contains screenshot which may be a policy violation.
96e0a86b-4a46-40d1-8b21-b1db016afb1b,WARNING,2,low_resolution,INFO,low_quality_image,Document has low resolution,Resolution of images stored in this document is too low for reliable analysis. Some detectors may be disabled.
96e94f66-3425-49ab-ba2a-b1db016b00f0,WARNING,1,digital_print,RISK,content_hiding,Digital print,This document was converted directly from a digital PDF to an image. This is highly suspicious as there is no legitimate reason to do so.
96e94f66-3425-49ab-ba2a-b1db016b00f0,WARNING,2,has_size_changed,RISK,metadata,The image resolution has been changed,The metadata of this image suggest that the image was resized or cropped.
96f30077-9e09-47b2-b529-b178017584e4,WARNING,1,has_word_covered,RISK,content_hiding,Contains hidden words,This document contains words covered by other content.
96f30077-9e09-47b2-b529-b178017584e4,WARNING,2,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
96f30077-9e09-47b2-b529-b178017584e4,WARNING,3,has_dxperience_metadata,INFO,known_creator,Saved in DXperience,The document was processed and saved in DXperience - software for designing other software.
96f30077-9e09-47b2-b529-b178017584e4,WARNING,4,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
9713f12e-24f1-426c-9bc0-b1780174fceb,WARNING,1,has_word_over_image,RISK,content_hiding,Contains word over image,This document contains words on top of an image. The added text may hide original content of the background image.
9713f12e-24f1-426c-9bc0-b1780174fceb,WARNING,2,has_scaled_image,INFO,content_hiding,Contains up-scaled or stretched image,"An image embedded in this document is stretched or scaled. This may indicate that the image originates from different source, e.g. stamp or signature re-used from another document."
9713f12e-24f1-426c-9bc0-b1780174fceb,WARNING,3,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
9713f12e-24f1-426c-9bc0-b1780174fceb,WARNING,4,has_itext_metadata,INFO,known_creator,Saved in iText,The document was processed and saved in iText - software library (Java language) for generating PDF files.
9713f12e-24f1-426c-9bc0-b1780174fceb,WARNING,5,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
9722af3d-4272-4bec-b729-b179001afae7,WARNING,1,has_word_covered,RISK,content_hiding,Contains hidden words,This document contains words covered by other content.
9722af3d-4272-4bec-b729-b179001afae7,WARNING,2,has_word_over_image,RISK,content_hiding,Contains word over image,This document contains words on top of an image. The added text may hide original content of the background image.
9722af3d-4272-4bec-b729-b179001afae7,WARNING,3,has_scaled_image,INFO,content_hiding,Contains up-scaled or stretched image,"An image embedded in this document is stretched or scaled. This may indicate that the image originates from different source, e.g. stamp or signature re-used from another document."
9722af3d-4272-4bec-b729-b179001afae7,WARNING,4,has_unknown_pdf_comments,RISK,modifications,Contains uncommon PDF comments in PDF data,This document contains uncommon PDF comments. This might be a relic of a PDF editor.
9722af3d-4272-4bec-b729-b179001afae7,WARNING,5,has_expertpdf_metadata,INFO,known_creator,Saved in ExpertPDF,The document was processed and saved in ExpertPDF - software library (.NET ecosystem) for generating PDF files from HTML documents.
9722af3d-4272-4bec-b729-b179001afae7,WARNING,6,has_link_annotations,INFO,annotations,Contains link annotations,"This document contains a hyphertext link to a destination inside or outside of the document, e.g. a website."
972588cf-c973-4eb5-a271-b1db016abba1,WARNING,1,has_word_covered,RISK,content_hiding,Contains hidden words,This document contains words covered by other content.
972588cf-c973-4eb5-a271-b1db016abba1,WARNING,2,has_dxperience_metadata,INFO,known_creator,Saved in DXperience,The document was processed and saved in DXperience - software for designing other software.
972588cf-c973-4eb5-a271-b1db016abba1,WARNING,3,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
972588cf-c973-4eb5-a271-b1db016abba1,WARNING,4,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
9779cd96-889d-44de-a376-b1db016b0eca,WARNING,1,digital_print,RISK,content_hiding,Digital print,The document contains pages that were converted directly from a digital PDF to an image and were then put back into a new PDF document. This is highly suspicious and may indicate content manipulation.
9779cd96-889d-44de-a376-b1db016b0eca,WARNING,2,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
9779cd96-889d-44de-a376-b1db016b0eca,WARNING,3,has_ios_metadata,INFO,known_creator,Saved in iOS,The document was processed and saved in iOS.
9779cd96-889d-44de-a376-b1db016b0eca,WARNING,4,has_quartz_metadata,INFO,known_creator,Saved in Quartz,The document was processed and saved in Quartz - software for drawing 2D graphics on MacOS with an option to export to PDF.
9779cd96-889d-44de-a376-b1db016b0eca,WARNING,5,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
9779cd96-889d-44de-a376-b1db016b0eca,WARNING,6,pdf_version_inconsistency,RISK,metadata,Multiple PDF standards,"This document was generated with multiple versions of the PDF standard, most likely because it was processed or edited by several different programs. This could be a normal in cases organizations with complicated, multi-step processes for creating documents, but it could be a sign of fraud."
9779cd96-889d-44de-a376-b1db016b0eca,WARNING,7,has_only_images,INFO,scan,PDF consists of images only,This may be for example because the document was scanned or a photo was converted to PDF.
97ac4631-29f8-4932-9b4f-b1db016ae19d,WARNING,1,has_word_over_image,RISK,content_hiding,Contains word over image,This document contains words on top of an image. The added text may hide original content of the background image.
97ac4631-29f8-4932-9b4f-b1db016ae19d,WARNING,2,has_scaled_image,INFO,content_hiding,Contains up-scaled or stretched image,"An image embedded in this document is stretched or scaled. This may indicate that the image originates from different source, e.g. stamp or signature re-used from another document."
97ac4631-29f8-4932-9b4f-b1db016ae19d,WARNING,3,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
97ac4631-29f8-4932-9b4f-b1db016ae19d,WARNING,4,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
97ac4631-29f8-4932-9b4f-b1db016ae19d,WARNING,5,has_itext_metadata,INFO,known_creator,Saved in iText,The document was processed and saved in iText - software library (Java language) for generating PDF files.
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,1,has_known_pdf_language,INFO,metadata,Declared document language is Spanish,The creator of this document declared Spanish as the language of the document's content.
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,2,digital_print,RISK,content_hiding,Digital print,The document contains pages that were converted directly from a digital PDF to an image and were then put back into a new PDF document. This is highly suspicious and may indicate content manipulation.
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,3,has_pdf_editor_converter_pdf_pattern_match,INFO,known_creator,Processed in editor or converter,This document was processed in Microsoft Word -- word processor developed by Microsoft.
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,4,low_resolution,INFO,low_quality_image,Document has low resolution,Resolution of images stored in this document is too low for reliable analysis. Some detectors may be disabled.
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,5,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,6,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,7,has_microsoft_word_metadata,INFO,known_creator,Saved in Microsoft Word,The document was processed and saved in Microsoft Word.
97be8bf9-ac9e-4f2b-a4f2-b1db016aebef,WARNING,8,has_only_images,INFO,scan,PDF consists of images only,This may be for example because the document was scanned or a photo was converted to PDF.
97e413db-f933-4138-9863-b179002de6a5,WARNING,1,digital_print,RISK,content_hiding,Digital print,This document was converted directly from a digital PDF to an image. This is highly suspicious as there is no legitimate reason to do so.
97f28c8c-1ea8-4ac4-ad37-b1db016b1446,WARNING,1,has_word_over_image,RISK,content_hiding,Contains word over image,This document contains words on top of an image. The added text may hide original content of the background image.
